Distance	Si	Ti	Al	Mg	Fe	Mn	Ca	SumCat	Xalm	Xsps	Xprp	Xgrs	XMg	ratio_CaFe
2030	2.96057549	0.00401876	2.00270892	0.28615821	2.53802657	0.11321524	0.12548143	8.04628341	0.83056993	0.03750804	0.09312209	0.04157136	0.10049275	0.05016005
2040	2.93727574	0.00459401	2.00560946	0.28979346	2.57491546	0.11147251	0.12439122	8.06889749	0.83113062	0.0366721	0.09336406	0.04090433	0.10076577	0.04943936
2050	2.94380702	0.00412754	1.99494362	0.2862578	2.57652096	0.11272838	0.12415132	8.06979369	0.83114117	0.03690659	0.09228968	0.04069275	0.09974849	0.04921229
2060	2.95659702	0.00418357	1.99545782	0.27680195	2.55919146	0.11554901	0.12261445	8.05402822	0.83229751	0.03799163	0.08982099	0.04036475	0.09724723	0.0487029
2070	2.96982098	0.00550461	1.96536256	0.26458803	2.57672266	0.11893865	0.12760561	8.05544318	0.8326863	0.03900617	0.08640371	0.04190382	0.09414176	0.05063602
2080	2.98865051	0.00326415	1.97049939	0.26397742	2.52598751	0.12294681	0.13759527	8.03275024	0.82756689	0.04045789	0.08674323	0.04523199	0.0949007	0.05475301
2090	2.98972769	0.00414261	1.97080059	0.26994217	2.51870619	0.12251658	0.1348601	8.03076286	0.82618954	0.04036506	0.08891406	0.04453134	0.09720861	0.05405068
2100	2.99717444	0.0033944	1.97071203	0.25707109	2.50971562	0.12259583	0.14150996	8.02597694	0.82744421	0.04060492	0.08501124	0.04693963	0.09321174	0.05690039
2110	2.98287387	0.00414798	1.98067672	0.26067323	2.50972369	0.12509037	0.14665833	8.03543539	0.82462723	0.04120426	0.08583905	0.04832946	0.09429711	0.05872569
2120	2.99312919	0.00372377	1.96742602	0.25200328	2.51625092	0.1224323	0.15118618	8.03286536	0.82638015	0.04045472	0.08306206	0.05010307	0.09134401	0.06081498
2130	2.98904342	0.0046047	1.96702413	0.25687739	2.51047186	0.12478325	0.1583646	8.03451028	0.82214303	0.04109944	0.08460218	0.05215536	0.09338421	0.06371576
2140	2.96303907	0.00454064	1.97811885	0.24746279	2.55258681	0.12441534	0.15983736	8.05672089	0.82610259	0.04069244	0.08088955	0.05231542	0.08932813	0.06370979
2150	2.97561392	0.00344255	1.98996383	0.25707328	2.49546163	0.12658958	0.16723608	8.03654233	0.81850294	0.041692	0.08465561	0.05514945	0.09377392	0.0676045
2160	2.98688433	0.00385454	1.97894869	0.25567057	2.48677486	0.1270116	0.17159704	8.02883194	0.81739421	0.04184067	0.0842136	0.05655152	0.09341522	0.06936879
2170	2.98134817	0.00348791	1.99051403	0.25361237	2.48228897	0.12852127	0.17075002	8.02929108	0.81739238	0.04244999	0.08376687	0.05639076	0.09298144	0.06918339
2180	2.98973213	0.00408219	1.9785254	0.2548495	2.47253661	0.12794308	0.17794156	8.02823548	0.81491129	0.04225161	0.08407132	0.05876578	0.09352708	0.07230756
2190	2.98740627	0.0032917	1.99056205	0.25148949	2.46029316	0.12948513	0.18189927	8.0236149	0.81338189	0.04291859	0.08334517	0.06035436	0.09297212	0.07443022
2200	2.99069624	0.00452376	1.97352339	0.25141038	2.47204667	0.12991608	0.18553588	8.02838421	0.81298189	0.04286557	0.08289646	0.06125608	0.09256447	0.07560931
2210	2.98978106	0.00521131	1.98527683	0.25108905	2.45029435	0.13055998	0.1889908	8.02371685	0.8109204	0.04327474	0.08313834	0.06266652	0.09299779	0.07746643
2220	2.99771131	0.00398827	1.97692445	0.24595005	2.45300934	0.13140102	0.19156408	8.01912785	0.81153016	0.04354233	0.081457	0.0634705	0.09122823	0.07839876
2230	2.99138471	0.00335328	1.98049776	0.24872144	2.45577238	0.13167257	0.19503065	8.02359346	0.80966863	0.04356595	0.08225042	0.064515	0.09223336	0.07985715
2240	2.9846455	0.00377334	1.99303914	0.24584763	2.44433588	0.13255085	0.20051693	8.02541391	0.80811312	0.04395259	0.08149913	0.06643517	0.091626	0.08239344
2250	2.98538156	0.00479437	1.98081537	0.24966898	2.45335489	0.13274162	0.20310497	8.02897103	0.80692953	0.04377485	0.08232318	0.06697244	0.09260297	0.08319216
